#separator:tab
#html:true
#tags column:3
#notetype:Basic
#deck:HMM Hanzi
<div style='font-size:96px'>人</div>	<div style='font-size:28px'>人 · <b>rén</b></div><div>person; people</div><hr><div><b>RuPaul</b> · Aberdeen · High street · Tone 2 (rising)</div><div><i>Props:</i> heels (人)</div><br><div><b>RuPaul</b> power-marches up the steep <b>High Street</b> in <b>Aberdeen</b>, legs splayed wide in plum stilettos. From behind it's just two legs planted on the ground: a <b>person</b>.</div><br><div><i>Words:</i> 别人 · 客人</div>	HMM batch01 tone2
<div style='font-size:96px'>大</div>	<div style='font-size:28px'>大 · <b>dà</b></div><div>big; large</div><hr><div><b>Denzil Hurt</b> · Praha · Vltava riverbank · Tone 4 (falling)</div><div><i>Props:</i> oar (一) + heels (人)</div><br><div>On the <b>Vltava riverbank</b> in <b>Praha</b>, <b>Denzil</b> struts down the steps in plum stilettos, holding an oar out level with both arms: "The fish was THIS <b>big</b>!" Then slips. SPLASH.</div><br><div><i>Words:</i> 大家 · 大学</div>	HMM batch01 tone4
<div style='font-size:96px'>我</div>	<div style='font-size:28px'>我 · <b>wǒ</b></div><div>I; me</div><hr><div><b>Willy Wonka</b> · Costco · Checkout line · Tone 3 (dipping)</div><div><i>Props:</i> foam hand (手) + halberd (戈)</div><br><div>Stuck in the <b>Costco checkout line</b>, <b>Willy Wonka</b> waves a giant foam hand and swings a halberd over the crowd: "<b>ME</b>! It's <b>MY</b> turn!"</div><br><div><i>Words:</i> 我们</div>	HMM batch01 tone3
<div style='font-size:96px'>好</div>	<div style='font-size:28px'>好 · <b>hǎo</b></div><div>good; well</div><hr><div><b>Hugh Jackman</b> · Nashville townhouse · Upstairs bedroom · Tone 3 (dipping)</div><div><i>Props:</i> veil (女) + baby car seat (子)</div><br><div>In the <b>upstairs bedroom</b> of the <b>Nashville townhouse</b>, <b>Hugh Jackman</b> finds a wedding veil draped over a baby's car seat, tucks the baby in and gives a thumbs up: "All <b>good</b>."</div><br><div><i>Words:</i> 好吃 · 爱好</div>	HMM batch01 tone3
<div style='font-size:96px'>是</div>	<div style='font-size:28px'>是 · <b>shì</b></div><div>be; is; are; yes</div><hr><div><b>Shannon</b> · Karlštejn Castle · Dungeon · Tone 4 (falling)</div><div><i>Props:</i> sun lamp (日) + hiking boot (𤴓)</div><br><div>Deep in the <b>Karlštejn Castle dungeon</b>, <b>Shannon</b> switches on a sun lamp. Its beam lands on a single hiking boot: "Yes! That <b>is</b> the one!"</div><br><div><i>Words:</i> 还是 · 总是</div>	HMM batch01 tone4
<div style='font-size:96px'>有</div>	<div style='font-size:28px'>有 · <b>yǒu</b></div><div>have; there is</div><hr><div><b>Weird Al</b> · Hluboká Castle · Tower · Tone 3 (dipping)</div><div><i>Props:</i> oven mitt (ナ) + joint of meat (月)</div><br><div><b>Weird Al</b> bursts out at the top of <b>Hluboká Castle's tower</b>, holding a sizzling joint of meat in an oven mitt: "I <b>HAVE</b> it!"</div><br><div><i>Words:</i> 没有 · 有名</div>	HMM batch01 tone3
<div style='font-size:96px'>在</div>	<div style='font-size:28px'>在 · <b>zài</b></div><div>at; in; be located</div><hr><div><b>Zac Efron</b> · Sky3 · Elevator bank · Tone 4 (falling)</div><div><i>Props:</i> oven mitt (ナ) + pot of soil (土)</div><br><div>At the <b>Sky3 elevator bank</b>, <b>Zac Efron</b> plants a pot of soil on the floor with an oven mitt and stands on the spot: "I'm right <b>here</b>. This is where I <b>am</b>."</div><br><div><i>Words:</i> 现在 · 正在</div>	HMM batch01 tone4
<div style='font-size:96px'>这</div>	<div style='font-size:28px'>这 · <b>zhè</b></div><div>this</div><hr><div><b>Judge Judy</b> · Jacob's parents' place · Backyard · Tone 4 (falling)</div><div><i>Props:</i> Segway (辶) + scroll (文)</div><br><div><b>Judge Judy</b> rides a Segway across the <b>backyard at Jacob's parents' place</b>, slams a scroll onto the patio table and points: "<b>THIS</b> one!"</div><br><div><i>Words:</i> 这里 · 这样</div>	HMM batch01 tone4
<div style='font-size:96px'>他</div>	<div style='font-size:28px'>他 · <b>tā</b></div><div>he; him</div><hr><div><b>Taylor Swift</b> · Praha · Charles Bridge · Tone 1 (flat)</div><div><i>Props:</i> heels (亻) + coiled snake (也)</div><br><div>On <b>Charles Bridge</b> in <b>Praha</b>, <b>Taylor Swift</b> spots a pair of men's-size stilettos with a snake coiled inside: "Whose are these? <b>HIS</b>!"</div><br><div><i>Words:</i> 其他 · 他们</div>	HMM batch01 tone1
<div style='font-size:96px'>她</div>	<div style='font-size:28px'>她 · <b>tā</b></div><div>she; her</div><hr><div><b>Taylor Swift</b> · Praha · Charles Bridge · Tone 1 (flat)</div><div><i>Props:</i> veil (女) + coiled snake (也)</div><br><div>On <b>Charles Bridge</b>, <b>Taylor Swift</b> finds a wedding veil with a snake coiled inside: "Whose is this? <b>HERS</b>!"</div><br><div><i>Words:</i> 她们</div>	HMM batch01 tone1
<div style='font-size:96px'>中</div>	<div style='font-size:28px'>中 · <b>zhōng</b></div><div>middle; China</div><hr><div><b>Judge Judy</b> · St. Vitus Cathedral · Main nave · Tone 1 (flat)</div><div><i>Props:</i> wind-up teeth (口) + flagpole (丨)</div><br><div>In the <b>main nave of St. Vitus Cathedral</b>, <b>Judge Judy</b> drives a flagpole straight through the <b>middle</b> of a set of chattering wind-up teeth, dead centre of the aisle.</div><br><div><i>Words:</i> 中国 · 中午</div>	HMM batch01 tone1
<div style='font-size:96px'>上</div>	<div style='font-size:28px'>上 · <b>shàng</b></div><div>up; on; previous</div><hr><div><b>Shannon</b> · Jacob's current apartment · Bedroom · Tone 4 (falling)</div><div><i>Props:</i> flag raised on a pole (上)</div><br><div>In the <b>bedroom of Jacob's apartment</b>, <b>Shannon</b> lays an oar on the floor, stands a flagpole on it and runs a flag <b>UP</b> the pole.</div><br><div><i>Words:</i> 上午 · 晚上</div>	HMM batch01 tone4
<div style='font-size:96px'>来</div>	<div style='font-size:28px'>来 · <b>lái</b></div><div>come</div><hr><div><b>Laura</b> · Sky3 · Gym / fitness room · Tone 2 (rising)</div><div><i>Props:</i> wheat sheaf (来)</div><br><div>In the <b>Sky3 gym</b>, <b>Laura</b> waves a huge wheat sheaf like a pom-pom at everyone on the treadmills: "<b>Come</b> on! <b>Come</b> here!"</div><br><div><i>Words:</i> 后来 · 起来</div>	HMM batch01 tone2
<div style='font-size:96px'>开</div>	<div style='font-size:28px'>开 · <b>kāi</b></div><div>open; drive; start</div><hr><div><b>Kevin (Home Alone)</b> · Sky3 · Rooftop kitchen · Tone 1 (flat)</div><div><i>Props:</i> oar (一) + garden gloves (廾)</div><br><div>Locked out of the <b>Sky3 rooftop kitchen</b>, <b>Kevin</b> pulls on garden gloves and levers the door <b>OPEN</b> with an oar.</div><br><div><i>Words:</i> 开始 · 离开</div>	HMM batch01 tone1
<div style='font-size:96px'>看</div>	<div style='font-size:28px'>看 · <b>kàn</b></div><div>look; watch; read</div><hr><div><b>Kevin (Home Alone)</b> · Anděl · Tram stop · Tone 4 (falling)</div><div><i>Props:</i> foam hand (手) + giant eyeball (目)</div><br><div>At the <b>Anděl tram stop</b>, <b>Kevin</b> holds a foam hand over a giant eyeball to shade it, <b>looking</b> down the tracks for the tram.</div><br><div><i>Words:</i> 看见</div>	HMM batch01 tone4
<div style='font-size:96px'>吃</div>	<div style='font-size:28px'>吃 · <b>chī</b></div><div>eat</div><hr><div><b>Channing Tatum</b> · Karlštejn Castle · Gatehouse · Tone 1 (flat)</div><div><i>Props:</i> wind-up teeth (口) + beggar's tin cup (乞)</div><br><div>At the <b>Karlštejn gatehouse</b>, <b>Channing Tatum</b> shakes a beggar's tin cup. Chattering wind-up teeth leap in and <b>eat</b> every coin.</div><br><div><i>Words:</i> 好吃</div>	HMM batch01 tone1
<div style='font-size:96px'>喝</div>	<div style='font-size:28px'>喝 · <b>hē</b></div><div>drink</div><hr><div><b>Hugh Jackman</b> · Jacob's parents' place · Living room · Tone 1 (flat)</div><div><i>Props:</i> wind-up teeth (口) + sun lamp (日) + sleeping bag (匃)</div><br><div>In the <b>living room at Jacob's parents' place</b>, <b>Hugh Jackman</b> lies in a sleeping bag under a sun lamp, parched, while wind-up teeth <b>drink</b> his lemonade.</div><br><div><i>Words:</i> 喝水</div>	HMM batch01 tone1
<div style='font-size:96px'>买</div>	<div style='font-size:28px'>买 · <b>mǎi</b></div><div>buy</div><hr><div><b>Madonna</b> · Sky3 · Lobby · Tone 3 (dipping)</div><div><i>Props:</i> coat hook (乛) + mannequin head (头)</div><br><div>In the <b>Sky3 lobby</b>, <b>Madonna</b> spots a mannequin head hanging on a coat hook, slaps down a credit card: "I'll <b>BUY</b> it!"</div><br><div><i>Words:</i> 买东西</div>	HMM batch01 tone3
<div style='font-size:96px'>能</div>	<div style='font-size:28px'>能 · <b>néng</b></div><div>can; be able to</div><hr><div><b>Nhi Le</b> · Old Town Square · Astronomical Clock · Tone 2 (rising)</div><div><i>Props:</i> bear (能)</div><br><div>At the <b>Astronomical Clock</b> in <b>Old Town Square</b>, <b>Nhi Le</b> coaches a bear up the clock face. The crowd gasps. It <b>CAN</b> do it!</div><br><div><i>Words:</i> 可能</div>	HMM batch01 tone2
