#separator:tab
#html:true
#tags column:3
#notetype:Basic
#deck:HMM Hanzi
<div style='font-size:96px'>不</div>	<div style='font-size:28px'>不 · <b>bù</b></div><div>no; not</div><hr><div><b>Brenda Felix</b> · Honolulu · Surf break (wipeout) · Tone 4 (falling)</div><div><i>Props:</i> no-entry barrier (不)</div><br><div><b>Brenda Felix</b> paddles out to the <b>surf break</b> off <b>Honolulu</b>, but a lifeguard slams a no-entry barrier across the wave: "<b>NO</b>! <b>Not</b> today!" Brenda wipes out into it.</div><br><div><i>Words:</i> 不客气 · 对不起</div>	HMM batch02 tone4
<div style='font-size:96px'>的</div>	<div style='font-size:28px'>的 · <b>de</b></div><div>possessive particle ('s)</div><hr><div><b>Denzil Hurt</b> · Jacob's parents' place · Front hallway · Neutral</div><div><i>Props:</i> white paint (白) + soup ladle (勺)</div><br><div>In the quiet <b>front hallway at Jacob's parents' place</b>, <b>Denzil</b> dips a soup ladle into white paint and quietly labels every coat on the hooks: "Denzil<b>'s</b>. Denzil<b>'s</b>. Denzil<b>'s</b>."</div><br><div><i>Words:</i> 我的 · 你的</div>	HMM batch02 tone5
<div style='font-size:96px'>了</div>	<div style='font-size:28px'>了 · <b>le</b></div><div>completed-action particle</div><hr><div><b>Laura</b> · Jacob's parents' place · Front hallway · Neutral</div><div><i>Props:</i> coat hook (乛) + fishing hook (亅)</div><br><div><b>Laura</b> tiptoes into the <b>front hallway at Jacob's parents' place</b>, hangs a fishing hook on the coat hook and whispers: "<b>Done</b>." Job finished.</div><br><div><i>Words:</i> 除了 · 为了</div>	HMM batch02 tone5
<div style='font-size:96px'>你</div>	<div style='font-size:28px'>你 · <b>nǐ</b></div><div>you</div><hr><div><b>Nhi Le</b> · Petřín Hill · Mirror maze · Tone 3 (dipping)</div><div><i>Props:</i> heels (亻) + hand mirror (尔)</div><br><div>Deep in the <b>Petřín mirror maze</b>, <b>Nhi Le</b> teeters in stilettos, holds up a hand mirror, and a hundred reflections point back: "<b>YOU</b>!"</div><br><div><i>Words:</i> 你们 · 你好</div>	HMM batch02 tone3
<div style='font-size:96px'>一</div>	<div style='font-size:28px'>一 · <b>yī</b></div><div>one</div><hr><div><b>Weird Al</b> · Petřín Hill · Lookout tower top · Tone 1 (flat)</div><div><i>Props:</i> oar (一)</div><br><div>At the <b>top of the Petřín lookout tower</b>, <b>Weird Al</b> lays <b>one</b> single oar perfectly flat along the railing. Just <b>one</b>.</div><br><div><i>Words:</i> 一起 · 第一</div>	HMM batch02 tone1
<div style='font-size:96px'>二</div>	<div style='font-size:28px'>二 · <b>èr</b></div><div>two</div><hr><div><b>You</b> · Pearl District, Portland · Steps down to the Willamette · Tone 4 (falling)</div><div><i>Props:</i> two oars (一 ×2)</div><br><div><b>You</b> carry <b>two</b> oars, one stacked above the other, down the <b>steps from the Pearl District to the Willamette</b>. Practice starts in <b>two</b> minutes.</div><br><div><i>Words:</i> 二</div>	HMM batch02 tone4
<div style='font-size:96px'>五</div>	<div style='font-size:28px'>五 · <b>wǔ</b></div><div>five</div><hr><div><b>Willy Wonka</b> · Honolulu · Hanauma Bay (snorkelling) · Tone 3 (dipping)</div><div><i>Props:</i> starfish (五)</div><br><div>Snorkelling in <b>Hanauma Bay</b>, <b>Willy Wonka</b> dips under and surfaces holding a starfish: "<b>Five</b> arms! <b>Five</b> golden tickets!"</div><br><div><i>Words:</i> 五</div>	HMM batch02 tone3
<div style='font-size:96px'>六</div>	<div style='font-size:28px'>六 · <b>liù</b></div><div>six</div><hr><div><b>Laura</b> · Tokyo · Sumo ring (thrown down) · Tone 4 (falling)</div><div><i>Props:</i> top hat (亠) + chopsticks spread apart (八)</div><br><div>In a <b>Tokyo sumo ring</b>, <b>Laura</b> in a top hat uses giant chopsticks to flip wrestlers down onto the clay: one, two… <b>six</b>!</div><br><div><i>Words:</i> 六</div>	HMM batch02 tone4
<div style='font-size:96px'>七</div>	<div style='font-size:28px'>七 · <b>qī</b></div><div>seven</div><hr><div><b>Queen Elizabeth II (QE2)</b> · Petřín Hill · Lookout tower top · Tone 1 (flat)</div><div><i>Props:</i> crowbar (七)</div><br><div>At the <b>top of the Petřín lookout tower</b>, <b>the Queen</b> pries open a locked hatch with a crowbar. Out march <b>seven</b> dwarfs.</div><br><div><i>Words:</i> 七</div>	HMM batch02 tone1
<div style='font-size:96px'>九</div>	<div style='font-size:28px'>九 · <b>jiǔ</b></div><div>nine</div><hr><div><b>Julia Roberts</b> · Tokyo · Onsen hot bath · Tone 3 (dipping)</div><div><i>Props:</i> flexed arm (九)</div><br><div>Sinking into a <b>Tokyo onsen</b>, <b>Julia Roberts</b> flexes one arm out of the steam and counts rubber ducks bobbing past: … eight, <b>nine</b>!</div><br><div><i>Words:</i> 九</div>	HMM batch02 tone3
<div style='font-size:96px'>小</div>	<div style='font-size:28px'>小 · <b>xiǎo</b></div><div>small; little</div><hr><div><b>Cher</b> · Cat café · Nap basket · Tone 3 (dipping)</div><div><i>Props:</i> fishing hook (亅) + two raindrops (丶丶)</div><br><div>In the <b>cat café nap basket</b>, <b>Cher</b> dangles a tiny fishing hook between two raindrops over a <b>little</b> kitten. Everything here is <b>small</b>.</div><br><div><i>Words:</i> 小时 · 小心</div>	HMM batch02 tone3
<div style='font-size:96px'>爱</div>	<div style='font-size:28px'>爱 · <b>ài</b></div><div>love</div><hr><div><b>You</b> · Sky3 · Elevator bank · Tone 4 (falling)</div><div><i>Props:</i> claw (爫) + bedsheet (冖) + friendship bracelet (友)</div><br><div>At the <b>Sky3 elevator bank</b>, a claw-machine claw drops from the ceiling, lifts a bedsheet and reveals a friendship bracelet with <b>your</b> name on it. <b>You</b> fall in <b>love</b>.</div><br><div><i>Words:</i> 爱好 · 可爱</div>	HMM batch02 tone4
<div style='font-size:96px'>去</div>	<div style='font-size:28px'>去 · <b>qù</b></div><div>go</div><hr><div><b>Queen Elizabeth II (QE2)</b> · Honolulu · Surf break (wipeout) · Tone 4 (falling)</div><div><i>Props:</i> pot of soil (土) + traffic cone (厶)</div><br><div>At the <b>Honolulu surf break</b>, <b>the Queen</b> balances on a surfboard, sitting on a pot of soil with a traffic cone as a crown. A wave hits: "<b>GO</b>!" Wipeout.</div><br><div><i>Words:</i> 去年 · 过去</div>	HMM batch02 tone4
<div style='font-size:96px'>说</div>	<div style='font-size:28px'>说 · <b>shuō</b></div><div>speak; say</div><hr><div><b>Shannon</b> · Waterfront Park, Portland · Esplanade walk · Tone 1 (flat)</div><div><i>Props:</i> microphone (讠) + currency-exchange booth (兑)</div><br><div>Strolling the <b>Waterfront Park esplanade</b>, <b>Shannon</b> sets up a currency-exchange booth and <b>speaks</b> into a microphone: "<b>Say</b> the word, I'll swap your dollars!"</div><br><div><i>Words:</i> 说话</div>	HMM batch02 tone1
<div style='font-size:96px'>家</div>	<div style='font-size:28px'>家 · <b>jiā</b></div><div>home; family</div><hr><div><b>Julia Roberts</b> · Ljubljana · Triple Bridge · Tone 1 (flat)</div><div><i>Props:</i> pitched roof (宀) + pig (豕)</div><br><div>On <b>Ljubljana's Triple Bridge</b>, <b>Julia Roberts</b> builds a pitched roof over a pig. The pig moves in: <b>home</b>, sweet <b>home</b>, and the whole <b>family</b> comes too.</div><br><div><i>Words:</i> 大家 · 国家</div>	HMM batch02 tone1
<div style='font-size:96px'>水</div>	<div style='font-size:28px'>水 · <b>shuǐ</b></div><div>water</div><hr><div><b>Shannon</b> · Norway · Cold plunge into the fjord · Tone 3 (dipping)</div><div><i>Props:</i> splashing fountain (水)</div><br><div><b>Shannon</b> takes a cold plunge into a <b>Norwegian fjord</b> and comes up spouting <b>water</b> like a fountain.</div><br><div><i>Words:</i> 水果 · 喝水</div>	HMM batch02 tone3
